Node,x,y,,
N01,156,159,,
N02,78,130,,
N03,132,130,,
N04,178,130,,
N05,103,105,,
N06,148,104,,
N07,180,103,,
N08,89,80,,
N09,144,79,,
N10,201,78,,
N11,159,60,,
Link,NodeA,NodeB,Length,Cost
N01-N02,N01,N02,130,130
N01-N03,N01,N03,90,90
N01-N04,N01,N04,90,90
N01-N07,N01,N07,103,103
N02-N03,N02,N03,120,120
N02-N05,N02,N05,70,70
N02-N08,N02,N08,90,90
N03-N04,N03,N04,100,100
N03-N05,N03,N05,90,90
N03-N06,N03,N06,67,67
N04-N07,N04,N07,50,50
N04-N08,N04,N08,250,250
N04-N10,N04,N10,150,150
N05-N06,N05,N06,98,98
N05-N08,N05,N08,60,60
N05-N11,N05,N11,230,230
N06-N07,N06,N07,78,78
N06-N08,N06,N08,120,120
N06-N09,N06,N09,65,65
N07-N09,N07,N09,81,81
N07-N10,N07,N10,65,65
N08-N09,N08,N09,120,120
N08-N11,N08,N11,180,180
N09-N10,N09,N10,100,100
N09-N11,N09,N11,60,60
N10-N11,N10,N11,120,120
