Node,x,y,,
N01,57,125,,
N02,75,140,,
N03,75,110,,
N04,95,125,,
N05,115,120,,
N06,115,100,,
N07,135,120,,
N08,155,125,,
N09,180,125,,
N10,180,85,,
N11,200,145,,
N12,215,130,,
N13,205,100,,
N14,223,110,,
Link,NodeA,NodeB,Length,Cost
N01-N02,N01,N02,260,260
N01-N03,N01,N03,252,252
N01-N04,N01,N04,324,324
N02-N03,N02,N03,380,380
N02-N08,N02,N08,868,868
N03-N06,N03,N06,416,416
N04-N05,N04,N05,248,248
N04-N11,N04,N11,1140,1140
N05-N06,N05,N06,272,272
N05-N07,N05,N07,292,292
N06-N10,N06,N10,704,704
N06-N13,N06,N13,1036,1036
N07-N08,N07,N08,212,212
N08-N09,N08,N09,224,224
N09-N10,N09,N10,752,752
N09-N12,N09,N12,536,536
N09-N14,N09,N14,668,668
N11-N12,N11,N12,408,408
N11-N14,N11,N14,684,684
N12-N13,N12,N13,664,664
N13-N14,N13,N14,352,352
