Node,x,y,,
N0,-148,220,,
N1,-91,220,,
N2,-153,189,,
N3,-133,204,,
N4,-106,204,,
N5,-86,189,,
N6,-133,174,,
N7,-106,174,,
N8,-148,158,,
N9,-91,158,,
Link,NodeA,NodeB,Length,Cost
N0-N1,N0,N1,223,223
N0-N2,N0,N2,199,199
N0-N3,N0,N3,240,240
N1-N3,N1,N3,201,201
N1-N4,N1,N4,241,241
N1-N5,N1,N5,193,193
N2-N3,N2,N3,218,218
N2-N6,N2,N6,199,199
N2-N8,N2,N8,207,207
N3-N4,N3,N4,200,200
N3-N6,N3,N6,181,181
N3-N7,N3,N7,183,183
N4-N5,N4,N5,204,204
N4-N6,N4,N6,196,196
N4-N7,N4,N7,212,212
N5-N7,N5,N7,188,188
N5-N9,N5,N9,195,195
N6-N7,N6,N7,199,199
N6-N8,N6,N8,240,240
N7-N8,N7,N8,236,236
N7-N9,N7,N9,222,222
N8-N9,N8,N9,199,199
