Node,x,y,,
N01,-125,352,,
N02,-134,331,,
N03,-135,301,,
N04,-122,288,,
N05,-130,271,,
N06,-97,331,,
N07,-99,301,,
N08,-89,268,,
N09,-67,304,,
N10,-63,274,,
N11,-42,333,,
N12,-37,306,,
N13,-32,279,,
N14,-38,261,,
N15,0,326,,
N16,2,306,,
N17,1,274,,
N18,-7,255,,
N19,42,356,,
N20,36,326,,
N21,33,303,,
N22,23,290,,
N23,31,274,,
N24,21,256,,
Link,NodeA,NodeB,Length,Cost
N01-N02,N01,N02,80,8
N01-N06,N01,N06,100,10
N02-N03,N02,N03,110,11
N02-N06,N02,N06,95,9.5
N03-N04,N03,N04,25,2.5
N03-N05,N03,N05,100,10
N03-N07,N03,N07,100,10
N04-N05,N04,N05,80,8
N04-N07,N04,N07,85,8.5
N05-N08,N05,N08,120,12
N06-N07,N06,N07,100,10
N06-N09,N06,N09,120,12
N06-N11,N06,N11,190,19
N07-N08,N07,N08,115,11.5
N07-N09,N07,N09,100,10
N08-N10,N08,N10,90,9
N09-N10,N09,N10,100,10
N09-N11,N09,N11,140,14
N09-N12,N09,N12,100,10
N10-N13,N10,N13,95,9.5
N10-N14,N10,N14,85,8.5
N11-N12,N11,N12,90,9
N11-N15,N11,N15,130,13
N11-N19,N11,N19,260,26
N12-N13,N12,N13,90,9
N12-N16,N12,N16,100,10
N13-N14,N13,N14,65,6.5
N13-N17,N13,N17,110,11
N14-N18,N14,N18,120,12
N15-N16,N15,N16,60,6
N15-N20,N15,N20,130,13
N16-N17,N16,N17,100,10
N16-N21,N16,N21,100,10
N16-N22,N16,N22,80,8
N17-N18,N17,N18,80,8
N17-N22,N17,N22,85,8.5
N17-N23,N17,N23,100,10
N18-N24,N18,N24,90,9
N19-N20,N19,N20,120,12
N20-N21,N20,N21,70,7
N21-N22,N21,N22,30,3
N22-N23,N22,N23,60,6
N23-N24,N23,N24,90,9
